Name,Email,"Import ID",Organization,Position,"Category Type","Top 50",Bio,"LinkedIn URL","Website URL",Status,"Import Date"
4841,"Catrin von Cisewski",Telekom,"Start-ups, Scale-ups & Katalysatoren",,,https://www.telekom.com,https://www.linkedin.com/in/catrinvoncisewski/,,publish,"2025-08-19 09:59:57","2025-08-19 09:59:57"
4842,"Christine von Breitenbuch","IAA Mobility, Messe München","Governance & Verwaltungen, Politik, öffentliche Unternehmen",,,https://www.iaa-mobility.com/en,https://www.linkedin.com/in/christinevonbreitenbuch/,,publish,"2025-08-19 09:59:57","2025-08-19 09:59:57"
4843,"Christoph Seyerlein","Manager MAGAZIN","Start-ups, Scale-ups & Katalysatoren",,,http://www.manager-magazin.de/,https://www.linkedin.com/in/christophseyerlein/,,publish,"2025-08-19 09:59:57","2025-08-19 09:59:57"
4844,"Christoph Weigler",UBER,"Etablierte Unternehmen",,,http://www.uber.com/,https://www.linkedin.com/in/cweigler/,,publish,"2025-08-19 09:59:57","2025-08-19 09:59:57"
4845,"Dr. Christian Dahlheim","Volkswagen Financial Services","Etablierte Unternehmen",,,https://www.vwfs.com/,https://www.linkedin.com/in/dr-christian-dahlheim-026a48a4/,,publish,"2025-08-19 09:59:57","2025-08-19 09:59:57"
4846,"Dr. Corsin Sulser",Parcandi,"Start-ups, Scale-ups & Katalysatoren",,,http://www.parcandi.com,https://www.linkedin.com/in/corsin-sulser/,,publish,"2025-08-19 09:59:57","2025-08-21 09:14:58"
4847,"Dr. Jan Hegner",dromos,"Start-ups, Scale-ups & Katalysatoren",,,http://www.dromos.network/,https://www.linkedin.com/in/dr-jan-hegner-080864110/,,publish,"2025-08-19 09:59:57","2025-08-19 09:59:57"
4848,"Fabian Beste",4Screen,"Start-ups, Scale-ups & Katalysatoren",,,https://4screen.com/,https://www.linkedin.com/in/fabian-beste-13758177/,,publish,"2025-08-19 09:59:57","2025-08-19 09:59:57"
4849,"Felix Pörnbacher",DeepDrive,"Start-ups, Scale-ups & Katalysatoren",,,http://deepdrive.tech/,https://www.linkedin.com/in/felixpoe/,,publish,"2025-08-19 09:59:57","2025-08-19 09:59:57"
4850,"Franz Reiner","Mercedes Benz Mobility AG","Etablierte Unternehmen",,,https://www.mercedes-benz-mobility.com/en/,https://www.linkedin.com/in/franz-reiner/,,publish,"2025-08-19 09:59:57","2025-08-19 09:59:57"
4851,"Friedrich Dräxlmaier","DRÄXLMAIER Group","Etablierte Unternehmen",,,https://www.draexlmaier.com/en/,http://Kein%20LinkedIn,,publish,"2025-08-19 09:59:57","2025-08-21 08:50:50"
4852,"Günther Schuh","Wissenschaftler I Unternehmer I Innovationen I Produktionsmanagement I Mobilitätslösungen","Start-ups, Scale-ups & Katalysatoren",,,,https://www.linkedin.com/in/g%C3%BCnther-schuh/,,publish,"2025-08-19 09:59:57","2025-08-31 15:34:03"
